method,obj_id,n_results,ADD_mean,ADD_median,ADD_std,ADD_S_mean,ADD_S_median,ADD_S_std,rotation_error_deg_mean,rotation_error_deg_median,rotation_error_deg_std,translation_error_mean,translation_error_median,translation_error_std,inlier_ratio_mean,inlier_ratio_median,inlier_ratio_std,model_build_time_mean,model_build_time_median,model_build_time_std,registration_time_mean,registration_time_median,registration_time_std,total_time_mean,total_time_median,total_time_std,candidate_inflation_mean_mean,candidate_inflation_mean_median,candidate_inflation_mean_std,kde_refine_calls_mean,kde_refine_calls_median,kde_refine_calls_std,ADD_S_lt_2_count,ADD_S_lt_2_rate,ADD_S_lt_5_count,ADD_S_lt_5_rate,ADD_S_lt_10_count,ADD_S_lt_10_rate,ADD_S_lt_20_count,ADD_S_lt_20_rate,throughput_cases_per_hour
baseline,1,500,62.38490482232702,62.14159933322947,16.155852175411475,18.6570617610653,16.361108475066622,13.72371831450417,132.5607259140563,140.50412420447333,36.311925736567986,37.19170607151206,36.02398959930806,20.209475503974335,0.14510230088495576,0.14212389380530974,0.05583480125320154,1.0337073743790388,1.0219236947596073,0.04040351512184553,11.34369792099297,11.580454654991627,3.881375289670227,12.378808111563325,12.650235991925001,3.8802811029827833,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,3,0.006,99,0.198,324,0.648,290.8195981030806
ours,1,500,44.17171590856037,51.773474273057246,24.51594595165501,9.700581648820819,7.113507257923054,12.928497710985267,108.24902304524969,130.66966947190423,62.84349299246298,17.578411514907504,13.598734005539031,18.42384041309935,0.26786336283185846,0.25557522123893806,0.10686379626593646,1.552073914334178,1.5102438516914845,0.12660130774806988,2.850985903650522,2.8704475462436676,0.7642166068283777,4.404430606663227,4.440642960369587,0.7751940497410167,13.88995063888713,13.707987359206811,1.9495475785888026,0.0,0.0,0.0,12,0.024,105,0.21,364,0.728,463,0.926,817.3587738114782
ours_no_pose_pipeline,1,500,57.673393995244616,59.945760452508424,18.048827555325513,15.828627326009595,13.267673218253323,12.721104236916117,130.82149316989927,144.31446981853327,43.161065707090934,31.274357900608816,29.30732207696675,19.62015994435496,0.1674499115044248,0.1631858407079646,0.06555850074005723,1.497222893536091,1.4798913039267063,0.06669115716711034,2.124846209540963,2.1176025979220867,0.6479510959491808,3.623392265185714,3.6121619641780853,0.6532957539760298,13.88995063888713,13.707987359206811,1.9495475785888026,0.0,0.0,0.0,0,0.0,15,0.03,149,0.298,368,0.736,993.5440980513009
ours_no_robustvote,1,500,44.62006117888548,52.13950426288822,24.22541807608908,9.69442677908912,7.224151492682333,12.876194627674636,109.48913308766761,130.89634093237225,62.07403230202965,17.614694992536286,13.936466409249975,18.15826030802464,0.2658725663716814,0.25380530973451326,0.10520724753888995,1.5337748112678529,1.5148705951869488,0.09731138333299195,1.6542096228003502,1.6654298976063728,0.3993352298117652,3.189397814154625,3.1987201496958733,0.42178688546742327,13.88995063888713,13.707987359206811,1.9495475785888026,0.0,0.0,0.0,10,0.02,101,0.202,367,0.734,467,0.934,1128.739721342729
ours_no_rsmrq,1,500,50.11820623496387,55.23568502517713,21.01138950892825,11.198005890018363,8.57100106615519,12.438780027401252,121.80704290594882,140.20201835730083,53.14213068568825,20.674228333326976,17.092819133539265,17.876167385914442,0.23339610619469028,0.22707964601769912,0.08705410278604687,1.2453481598347425,1.2197718732059002,0.12733607753012227,1.5572902238219977,1.5606505125761032,0.3481296813502912,2.8040903244018556,2.7881893515586853,0.38185216791686116,1.0,1.0,0.0,0.0,0.0,0.0,4,0.008,52,0.104,321,0.642,456,0.912,1283.8388152735133
baseline,5,500,93.74859665085998,103.0875625595117,38.425452834952175,16.36526995330099,14.421695996144063,9.90228150772142,123.41090840416751,147.834922139498,58.23747788064226,45.740713655160334,38.39377160925437,32.17550976909544,0.13623742239349174,0.13492828088203812,0.05827861836774123,12.295503264725209,12.272024907171726,0.1491623560190408,150.01894653627275,146.33152661845088,31.378684545198087,162.3175835978091,158.73669996112585,31.38329641651421,1.0,1.0,0.0,0.0,0.0,0.0,0,0.0,16,0.032,91,0.182,395,0.79,22.17874317868167
ours,5,500,55.954148374927534,55.33675992535271,43.09120218808994,7.887381281654066,5.915263131574227,5.432917291467673,81.78608778888233,67.52329527937329,72.77697451304724,16.6264234742931,10.845262392870392,18.4018538161374,0.22255684007707127,0.220616570327553,0.07782582422713392,21.537137310490014,21.546059142798185,0.5585212340791808,6.566481956362725,6.488178215920925,1.2812405400274451,28.107409930050373,28.02145514637232,1.3100703372837172,51.50235301290251,51.76735920134372,4.287735246155325,0.0,0.0,0.0,5,0.01,195,0.39,356,0.712,485,0.97,128.0801044621029
ours_no_pose_pipeline,5,500,90.77375778331321,98.58288232951186,39.35421399913986,15.090097190421627,14.29046919262116,8.177990282457353,120.7760002295584,145.50153750389674,60.04847318842393,43.04121893668996,33.54054013470331,31.42572525220381,0.14434596446157139,0.1459002354956112,0.05743943296782002,19.997701815530657,20.002804528921843,0.442182116583161,5.6313684550523755,5.5247538164258,1.1484233439599398,25.632422344878314,25.561594996601343,1.1645581488550936,51.50235301290251,51.76735920134372,4.287735246155325,0.0,0.0,0.0,0,0.0,13,0.026,104,0.208,424,0.848,140.44712401983833
ours_no_robustvote,5,500,55.45683297026671,51.60706265594303,42.67009518694528,7.886044434469659,6.0055021078046265,5.674264411285714,81.15758237025973,61.86803139055097,73.02792866124557,16.782738971988497,11.850344196615286,18.32504653178591,0.2222883750802826,0.22034896167844145,0.07693229125588451,21.124572272732856,21.125453807413578,0.4563587465766752,3.1961704866439105,3.1715424470603466,0.5672577341283218,24.325028428331017,24.361475367099047,0.6939193728439584,51.50235301290251,51.76735920134372,4.287735246155325,0.0,0.0,0.0,4,0.008,192,0.384,356,0.712,486,0.972,147.99571604229374
ours_no_rsmrq,5,500,60.531752170377715,64.80374726771245,41.93478396110217,8.742764130839442,7.138204274708097,5.977791297328542,87.41369737286065,81.5036771933496,70.72870197633013,18.621520114159352,12.513584358780221,19.867553226748324,0.21034703489616782,0.20868122457717833,0.07601472777971237,17.724153714478017,17.70388613268733,0.42432993532071167,1.9723237711787225,1.929893959313631,0.3405986190088747,19.700737906962633,19.6425391882658,0.5423086983691316,1.0,1.0,0.0,0.0,0.0,0.0,3,0.006,153,0.306,322,0.644,485,0.97,182.734272035957
