pcd_path,obj_token,frame_id,depth_path,expected_model_path,expected_obj_id
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000000.ply,0,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000001.ply,1
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000001.ply,1,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000005.ply,5
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000002.ply,2,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000006.ply,6
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000003.ply,3,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000008.ply,8
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000004.ply,4,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000009.ply,9
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000005.ply,5,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000010.ply,10
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000006.ply,6,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000011.ply,11
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000000_000007.ply,7,0,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000000.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000012.ply,12
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000000.ply,0,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000001.ply,1
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000001.ply,1,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000005.ply,5
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000002.ply,2,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000006.ply,6
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000003.ply,3,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000008.ply,8
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000004.ply,4,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000009.ply,9
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000005.ply,5,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000010.ply,10
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000006.ply,6,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000011.ply,11
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000001_000007.ply,7,1,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000001.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000012.ply,12
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000000.ply,0,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000001.ply,1
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000001.ply,1,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000005.ply,5
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000002.ply,2,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000006.ply,6
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000003.ply,3,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000008.ply,8
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000004.ply,4,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000009.ply,9
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000005.ply,5,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000010.ply,10
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000006.ply,6,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000011.ply,11
F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\_preprocessed_lmo\inst_pcd_visib\000002\000002_000007.ply,7,2,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_test_all\test\000002\depth\000002.png,F:\Research\daihongsong\data\LM-O (Linemod-Occluded)\lmo_models\models_eval\obj_000012.ply,12
