scene_id,scene_name,scene_variant,pcd_path,obj_id,expected_obj_id,expected_model_path,gt_path,config_path,model_name,gt_threshold
0,Scene0,0.1,data/stanford_bunny_ppf/scenes/Scene0_0.1.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene0-rs0.xf,configs/stanford_retrieval/ConfigScene0.ini,bun_zipper_0.ply,1
0,Scene0,0.3,data/stanford_bunny_ppf/scenes/Scene0_0.3.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene0-rs0.xf,configs/stanford_retrieval/ConfigScene0.ini,bun_zipper_0.ply,1
0,Scene0,0.5,data/stanford_bunny_ppf/scenes/Scene0_0.5.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene0-rs0.xf,configs/stanford_retrieval/ConfigScene0.ini,bun_zipper_0.ply,1
1,Scene1,0.1,data/stanford_bunny_ppf/scenes/Scene1_0.1.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene1-rs0.xf,configs/stanford_retrieval/ConfigScene1.ini,dragon_vrip_res2_0.ply,1
1,Scene1,0.3,data/stanford_bunny_ppf/scenes/Scene1_0.3.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene1-rs0.xf,configs/stanford_retrieval/ConfigScene1.ini,dragon_vrip_res2_0.ply,1
1,Scene1,0.5,data/stanford_bunny_ppf/scenes/Scene1_0.5.ply,2,2,data/stanford_bunny_ppf/models/dragon_vrip_res2_0.ply,data/stanford_bunny_ppf/scenes/Scene1-rs0.xf,configs/stanford_retrieval/ConfigScene1.ini,dragon_vrip_res2_0.ply,1
2,Scene2,0.1,data/stanford_bunny_ppf/scenes/Scene2_0.1.ply,3,3,data/stanford_bunny_ppf/models/xyzrgb_dragon_vr3_small_scaled_0.ply,data/stanford_bunny_ppf/scenes/Scene2-rs0.xf,configs/stanford_retrieval/ConfigScene2.ini,xyzrgb_dragon_vr3_small_scaled_0.ply,1
2,Scene2,0.3,data/stanford_bunny_ppf/scenes/Scene2_0.3.ply,3,3,data/stanford_bunny_ppf/models/xyzrgb_dragon_vr3_small_scaled_0.ply,data/stanford_bunny_ppf/scenes/Scene2-rs0.xf,configs/stanford_retrieval/ConfigScene2.ini,xyzrgb_dragon_vr3_small_scaled_0.ply,1
2,Scene2,0.5,data/stanford_bunny_ppf/scenes/Scene2_0.5.ply,3,3,data/stanford_bunny_ppf/models/xyzrgb_dragon_vr3_small_scaled_0.ply,data/stanford_bunny_ppf/scenes/Scene2-rs0.xf,configs/stanford_retrieval/ConfigScene2.ini,xyzrgb_dragon_vr3_small_scaled_0.ply,1
3,Scene3,0.1,data/stanford_bunny_ppf/scenes/Scene3_0.1.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene3-rs0.xf,configs/stanford_retrieval/ConfigScene3.ini,Armadillo_vres2_small_scaled.ply,1
3,Scene3,0.3,data/stanford_bunny_ppf/scenes/Scene3_0.3.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene3-rs0.xf,configs/stanford_retrieval/ConfigScene3.ini,Armadillo_vres2_small_scaled.ply,1
3,Scene3,0.5,data/stanford_bunny_ppf/scenes/Scene3_0.5.ply,4,4,data/stanford_bunny_ppf/models/Armadillo_vres2_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene3-rs0.xf,configs/stanford_retrieval/ConfigScene3.ini,Armadillo_vres2_small_scaled.ply,1
4,Scene4,0.1,data/stanford_bunny_ppf/scenes/Scene4_0.1.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene4-rs0.xf,configs/stanford_retrieval/ConfigScene4.ini,happy_vrip_res3_0.ply,1
4,Scene4,0.3,data/stanford_bunny_ppf/scenes/Scene4_0.3.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene4-rs0.xf,configs/stanford_retrieval/ConfigScene4.ini,happy_vrip_res3_0.ply,1
4,Scene4,0.5,data/stanford_bunny_ppf/scenes/Scene4_0.5.ply,5,5,data/stanford_bunny_ppf/models/happy_vrip_res3_0.ply,data/stanford_bunny_ppf/scenes/Scene4-rs0.xf,configs/stanford_retrieval/ConfigScene4.ini,happy_vrip_res3_0.ply,1
5,Scene5,0.1,data/stanford_bunny_ppf/scenes/Scene5_0.1.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene5-rs0.xf,configs/stanford_retrieval/ConfigScene5.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
5,Scene5,0.3,data/stanford_bunny_ppf/scenes/Scene5_0.3.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene5-rs0.xf,configs/stanford_retrieval/ConfigScene5.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
5,Scene5,0.5,data/stanford_bunny_ppf/scenes/Scene5_0.5.ply,6,6,data/stanford_bunny_ppf/models/xyzrgb_statuette_vr3_small_scaled.ply,data/stanford_bunny_ppf/scenes/Scene5-rs0.xf,configs/stanford_retrieval/ConfigScene5.ini,xyzrgb_statuette_vr3_small_scaled.ply,1
6,Scene6,0.1,data/stanford_bunny_ppf/scenes/Scene6_0.1.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene6-rs0.xf,configs/stanford_retrieval/ConfigScene6.ini,bun_zipper_0.ply,1
6,Scene6,0.3,data/stanford_bunny_ppf/scenes/Scene6_0.3.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene6-rs0.xf,configs/stanford_retrieval/ConfigScene6.ini,bun_zipper_0.ply,1
6,Scene6,0.5,data/stanford_bunny_ppf/scenes/Scene6_0.5.ply,1,1,data/stanford_bunny_ppf/models/bun_zipper_0.ply,data/stanford_bunny_ppf/scenes/Scene6-rs0.xf,configs/stanford_retrieval/ConfigScene6.ini,bun_zipper_0.ply,1
